timestamp,message,category,source
2026-02-12T14:45:04.798493,DEBUG: Request processed in 5ms,routine,log-source-2
2026-01-27T23:11:04.807734,DEBUG: GC completed in 250ms,noise,log-source-9
2026-02-13T10:30:04.805814,INFO: User backup_user logged out,routine,log-source-10
2026-02-17T15:52:04.792366,DEBUG: Request processed in 5ms,routine,log-source-4
2026-02-07T01:58:04.804419,INFO: Service nginx started successfully on jumpbox,routine,log-source-6
2026-01-31T10:43:04.795854,NOTICE: Password changed for user backup_user,routine,log-source-5
2026-02-11T19:34:04.807149,NOTICE: Password changed for user root,routine,log-source-4
2026-02-15T17:11:04.800179,NOTICE: System update applied successfully,routine,log-source-9
2026-01-22T02:04:04.804170,INFO: User root logged in successfully from 192.168.1.100,routine,log-source-5
2026-02-02T18:53:04.798197,DEBUG: Session created for user jsmith,routine,log-source-7
2026-02-05T18:33:04.800406,DEBUG: Request processed in 15ms,routine,log-source-5
2026-01-19T23:00:04.815213,DEBUG: Prometheus scrape completed,noise,log-source-5
2026-01-31T06:33:04.807454,DEBUG: GC completed in 50ms,noise,log-source-5
2026-02-15T22:05:04.815551,TRACE: Heartbeat received from workstation-42,noise,log-source-9
2026-02-13T21:10:04.811475,TRACE: Telemetry data sent,noise,log-source-10
2026-01-19T18:01:04.807052,DEBUG: Session created for user backup_user,routine,log-source-5
2026-02-14T18:34:04.789698,WARNING: Permission denied for admin on admin_panel,suspicious,log-source-4
2026-01-21T17:02:04.814182,TRACE: Keep-alive ping from 198.51.100.17,noise,log-source-5
2026-02-07T08:28:04.787364,WARNING: Unusual network activity from web-server-01 to port 8080,suspicious,log-source-10
2026-02-13T07:15:04.785157,NOTICE: Failed authentication from unusual location Tor Exit Node,suspicious,log-source-9
2026-02-09T15:42:04.791506,NOTICE: Password changed for user admin,routine,log-source-9
2026-01-29T16:31:04.798042,INFO: Backup completed successfully - 100MB archived,routine,log-source-6
2026-01-29T23:47:04.810718,TRACE: Heartbeat received from app-node-03,noise,log-source-6
2026-01-27T15:51:04.812406,DEBUG: GC completed in 15ms,noise,log-source-6
2026-02-01T02:55:04.790907,ALERT: Multiple failed SSH attempts from 172.16.0.25,suspicious,log-source-3
2026-01-29T20:16:04.794633,DEBUG: Request processed in 5ms,routine,log-source-8
2026-01-28T18:03:04.795107,INFO: User backup_user logged in successfully from 198.51.100.17,routine,log-source-6
2026-02-13T04:23:04.791346,NOTICE: Password changed for user admin,routine,log-source-7
2026-02-01T03:44:04.796031,INFO: User svc_account logged in successfully from 198.51.100.17,routine,log-source-4
2026-02-07T23:32:04.786621,WARNING: Permission denied for svc_account on database.users,suspicious,log-source-7
2026-01-22T10:16:04.804139,DEBUG: Request processed in 5ms,routine,log-source-1
2026-01-29T17:14:04.804615,INFO: Service redis started successfully on db-master,routine,log-source-7
2026-01-27T07:49:04.813749,TRACE: Keep-alive ping from 198.51.100.17,noise,log-source-10
2026-02-07T14:16:04.800274,DEBUG: Request processed in 100ms,routine,log-source-8
2026-02-14T10:26:04.789833,NOTICE: Unauthorized access attempt to database.users,suspicious,log-source-7
2026-02-07T09:41:04.810791,DEBUG: Prometheus scrape completed,noise,log-source-3
